'Nombre','Mano','Cubos contabilizados','Precision de la cuenta','Pasos de mano contabilizados','Precision de la mano','Tiempos entre cubos',

---Pruebas 24/7/2017. Sin detección final implementada y sin cambio
'10bp1','Derecha',10,100% ,10,100% ,3.86,6.357,8.754,11.194,13.254,15.323,17.621,20.754,23.261,62.221,
'10bp2','Derecha',10,100% ,10,100% ,3.338,8.171,15.172,22.309,28.738,32.904,39.906,45.61,53.011,62.976,
'10bp3','Derecha',10,100% ,10,100% ,2.643,8.078,15.244,24.539,33.805,36.844,42.642,49.839,54.706,62.238,

'15bp1','Derecha',12,80% ,15,100% ,2.897,7.429,12.732,16.933,20.432,24.028,28.365,33.931,37.695,40.698,44.565,47.505,50.563,52.796,61.695,
'15bp2','Derecha',15,100% ,15,100% ,2.46,6.992,10.725,13.993,17.422,21.828,25.49,28.925,32.186,35.492,38.691,42.422,46.054,49.962,61.924,
'15bp3','Derecha',13,86.6667% ,15,100% ,3.254,6.522,10.254,13.519,16.858,21.022,24.658,28.457,32.29,36.553,41.184,44.918,49.225,53.457,62.821,
'15bp4','Derecha',15,100% ,15,100% ,2.773,6.242,10.071,13.844,16.94,19.97,23.176,26.109,29.672,33.405,37.372,42.312,46.176,50.312,63.007,

'20bp1','Derecha',19,95% ,20,100% ,3.754,7.622,9.721,12.298,14.595,16.82,19.352,21.692,24.33,27.154,29.653,31.892,34.558,37.059,39.32,41.853,44.587,47.892,50.658,64.023,
'20bp2','Derecha',17,85% ,20,100% ,2.266,5.164,7.636,10.168,12.564,14.897,17.099,19.435,22.3,24.798,27.102,29.567,32.13,35.73,38.93,42.868,46.065,49.302,52.066,62.101,
'20bp3','Derecha',16,80% ,20,100% ,3.18,5.778,8.214,10.88,13.481,16.385,19.047,21.883,24.551,27.218,29.452,32.249,34.947,37.617,40.613,43.451,46.417,49.482,52.149,62.614,
'20bp4','Derecha',22,110% ,20,100% ,2.608,5.377,7.808,10.312,12.637,14.838,17.039,19.573,22.012,24.742,27.94,30.936,34.168,37.305,40.109,42.775,45.806,49.21,53.008,62.077,

'25bp1','Derecha',19,76% ,24,96% ,1.935,4.164,7.272,9.499,11.434,13.531,15.368,17.134,19.066,20.968,22.8,24.633,26.369,27.996,30.069,32.236,33.868,35.868,37.77,43.067,45.466,48.001,50.069,65.398,
'25bp2','Derecha',17,68% ,25,100% ,2.196,4.196,6.329,8.558,10.364,12.262,14.224,16.396,18.664,20.602,22.591,25.027,27.161,29.164,31.824,34.191,36.459,38.491,42.793,44.663,46.858,48.994,51.324,53.423,62.162,
'20bp3','Derecha',18,72% ,25,100% ,1.893,3.967,5.867,7.566,9.263,11.027,12.832,14.659,16.762,18.794,20.796,23.464,25.399,27.292,29.864,32.56,35.228,38.596,40.794,43.232,45.232,47.299,49.265,51.859,61.867,
'25bp4','Derecha',24,96% ,25,100% ,2.32,4.457,6.653,8.828,10.895,12.791,14.786,16.619,18.487,20.327,22.69,24.757,27.388,29.524,32.724,34.824,37.025,39.524,41.756,43.892,45.918,48.054,50.258,52.419,61.159,

'30bp1','Derecha',22,73.3333% ,29,96.6667% ,1.977,3.776,6.176,8.179,10.076,11.742,13.406,15.508,17.339,19.039,20.876,22.613,24.375,26.275,28.243,30.039,31.875,33.642,35.377,37.146,38.876,40.447,42.209,44.078,46.307,48.111,49.905,52.208,61.706,
'30bp2','Derecha',28,93.3333% ,27,90% ,1.872,4.105,7.674,9.57,11.139,12.737,14.604,16.971,18.711,20.409,22.27,23.977,27.47,29.271,31.437,33.806,35.704,37.477,39.407,41.741,43.611,45.806,47.843,50.042,54.545,56.738,59.905,
'30bp3','Derecha',18,60% ,28,93.3333% ,3.146,6.879,8.816,10.946,13.047,14.68,16.343,18.083,21.742,23.714,25.276,27.175,29.275,31.079,32.847,34.647,36.28,37.912,39.446,41.175,43.311,44.976,46.748,49.215,50.681,52.313,54.082,62.976,
'30bp4','Derecha',27,90% ,29,96.6667% ,2.53,4.994,6.932,8.563,10.526,12.297,14.297,16.331,18.226,20.062,21.657,23.162,25.03,26.862,28.793,30.458,32.427,34.363,35.993,37.759,39.392,41.196,43.465,47.392,49.198,51.43,53.16,57.426,64.093,

'35bp1','Derecha',26,74.2857% ,32,91.4286% ,1.592,3.195,4.625,6.031,7.557,8.99,10.397,11.926,13.797,15.394,16.93,18.629,20.193,21.694,23.525,25.199,26.761,28.665,32.628,34.264,35.859,37.496,39.095,42.692,44.495,46.063,48.062,49.758,51.299,52.725,55.858,61.594,
'35bp2','Derecha',27,77.1429% ,34,97.1429% ,1.711,3.183,4.676,6.145,7.779,9.083,10.417,11.845,13.28,14.646,16.014,17.284,18.844,20.312,21.65,23.244,24.684,26.182,27.715,29.312,30.816,32.346,34.317,35.912,37.615,39.179,40.711,42.218,43.78,45.412,47.05,48.611,50.377,62.113,
'35bp3','Derecha',27,77.1429% ,32,91.4286% ,1.517,3.083,4.55,5.849,7.351,8.65,10.05,11.382,12.684,14.114,15.483,16.85,18.182,19.448,20.749,22.117,23.549,25.084,26.416,27.715,29.184,30.55,32.05,34.851,36.35,39.248,40.916,42.381,43.716,45.52,48.483,60.583,
'35bp4','Derecha',29,82.8571% ,30,85.7143% ,1.809,3.209,4.708,5.841,7.076,8.376,9.709,11.141,12.509,13.908,15.343,16.775,18.075,19.277,20.61,21.877,23.21,25.609,27.112,30.378,31.909,33.274,34.877,36.175,37.541,38.975,41.675,44.278,45.74,62.242,

'40bp1','Derecha',26,65% ,36,90% ,1.348,2.413,3.58,4.713,5.88,7.013,8.113,9.348,10.48,11.779,12.881,14.081,15.248,16.479,17.648,18.913,20.248,21.614,22.913,24.18,25.48,28.216,30.114,31.414,32.614,34.048,36.716,39.18,40.948,42.147,43.48,44.948,46.214,49.247,50.713,61.515,
'40bp2','Derecha',28,70% ,40,100% ,1.691,2.858,3.992,5.124,6.458,7.593,8.825,10.158,11.357,13.125,14.293,15.493,16.759,17.96,19.39,20.593,21.825,23.091,24.327,25.758,27.395,28.725,29.961,31.226,32.692,33.958,35.293,36.556,37.994,39.425,40.728,42.06,43.362,44.726,45.995,47.192,48.459,50.224,51.361,67.128,
'40bp3','Derecha',26,65% ,34,85% ,1.744,2.911,4.045,5.278,6.61,7.746,9.145,10.343,11.777,13.244,14.51,16.577,17.779,18.879,20.011,21.478,22.609,23.786,24.912,26.08,27.277,30.044,32.51,33.878,36.178,38.776,41.31,42.609,43.978,45.211,46.91,48.179,51.076,62.01,
'40bp4','Derecha',32,80% ,38,95% ,1.354,2.454,3.553,4.754,5.888,7.253,8.42,9.788,10.987,12.257,13.488,14.785,16.685,17.954,19.353,20.59,21.82,23.121,24.388,26.087,29.154,30.487,33.386,34.754,36.054,37.255,38.654,40.154,41.656,42.989,44.353,45.754,47.155,49.222,50.988,52.587,54.154,65.088,

'45bp1','Derecha',35,77.7778% ,44,97.7778% ,2.347,3.215,4.68,5.613,6.647,8.015,9.015,10.081,11.249,12.383,13.549,14.883,16.018,18.082,19.349,20.449,21.717,22.716,23.879,25.147,26.181,27.281,28.48,29.514,30.814,31.883,32.981,34.18,35.248,36.417,37.548,38.681,39.814,41.015,42.216,43.414,45.147,46.381,47.582,48.752,49.981,51.181,52.481,62.716,
'45bp2','Derecha',33,73.3333% ,42,93.3333% ,2.108,3.107,4.142,5.176,6.276,7.407,8.508,9.64,11.074,12.141,13.208,14.541,15.64,16.908,18.074,19.209,20.342,21.409,22.577,23.774,24.909,25.975,27.174,28.441,29.608,31.475,32.674,33.974,35.108,36.478,37.676,38.842,40.141,41.309,42.641,44.573,45.776,47.009,48.141,49.61,54.976,61.741,
'45bp3','Derecha',29,64.4444% ,42,93.3333% ,1.702,3.738,4.871,5.904,6.871,7.836,8.837,9.838,10.736,11.838,12.87,13.936,15.037,16.171,17.403,18.504,19.636,20.703,21.871,22.971,24.069,25.135,26.805,27.97,29.237,30.27,31.47,32.571,33.672,34.77,36.236,38.237,39.604,40.671,43.104,44.403,45.604,46.636,47.77,48.903,49.97,61.904,
'45bp4','Derecha',39,86.6667% ,33,73.3333% ,2.253,3.354,5.053,6.552,7.719,8.753,9.886,10.953,12.085,13.053,14.218,15.287,17.785,18.986,20.085,21.12,22.384,23.886,25.052,26.355,27.517,28.654,29.717,30.884,33.618,35.919,38.187,40.585,41.952,44.054,46.286,49.718,62.286,

'50bp1','Derecha',46,92% ,42,84% ,1.357,2.265,3.056,3.962,4.897,5.728,6.622,7.523,8.392,9.26,10.129,12.36,13.364,14.297,15.197,16.159,17.059,18.226,19.157,20.091,21.125,22.056,23.092,24.124,25.127,27.559,28.662,30.496,33.329,35.226,36.356,37.427,38.627,39.599,42.391,44.727,45.856,46.76,49.062,49.996,58.801,63.222,
'50bp2','Derecha',38,76% ,44,88% ,1.106,2.341,3.44,4.811,6.005,7.277,8.415,9.339,10.34,11.841,12.874,13.772,14.682,15.611,16.504,17.51,18.405,19.776,20.711,21.677,24.141,25.21,26.208,27.239,28.173,30.611,31.744,32.776,33.78,34.81,35.712,37.846,38.94,39.944,40.877,42.639,43.71,45.574,46.71,47.604,49.348,51.741,53.849,62.312,
'50bp3','Derecha',34,68% ,48,96% ,3.592,4.592,5.591,6.494,7.494,8.459,9.358,10.326,11.193,12.158,13.058,13.959,14.892,15.792,16.726,17.76,18.759,19.725,20.661,21.593,22.825,23.757,24.726,26.058,27.026,28.027,29.058,30.058,31.194,32.126,33.323,34.293,36.458,37.593,38.725,39.858,40.825,41.823,42.857,44.024,45.058,46.057,47.058,48.191,49.193,50.26,51.324,61.758,
'50bp4','Derecha',38,76% ,47,94% ,1.509,2.574,3.506,4.413,5.281,6.275,7.21,8.109,9.112,9.946,10.875,11.773,12.711,13.544,14.442,15.306,16.247,17.107,18.074,19.045,20.111,21.206,22.209,23.212,25.006,26.11,27.08,28.083,28.974,30.008,31.011,31.974,32.911,33.84,34.777,36.908,39.308,40.576,41.507,42.511,43.407,44.479,45.513,46.344,47.305,48.31,63.807,

---Pruebas con cambio y deteccion final

'p1','Derecha',48,97.9592% ,40,81.6327% ,3.654,4.716,6.487,7.681,9.049,13.551,15.25,17.918,19.483,20.818,22.317,23.984,25.353,26.917,28.254,29.65,30.948,32.349,33.819,36.549,37.618,38.816,39.749,40.782,41.753,42.649,43.553,44.484,45.382,46.354,47.287,48.317,49.317,51.282,52.389,54.282,56.217,57.284,58.249,61.05,
'p2','Derecha',65,100% ,34,52.3077% ,1.595,2.896,4.728,5.86,6.762,7.76,10.594,11.526,13.262,14.862,15.762,17.162,18.793,20.593,22.195,23.863,25.593,27.428,29.225,30.961,32.662,34.493,36.127,38.626,40.192,41.126,42.827,44.627,45.463,52.429,53.762,56.195,59.126,61.762,
'p3','Derecha',60,98.3607% ,37,60.6557% ,1.92,2.853,4.521,6.854,7.853,9.552,11.42,13.087,15.485,18.72,20.353,21.227,22.82,23.786,25.388,26.387,29.02,30.786,32.521,35.121,36.119,36.953,39.02,40.988,42.852,43.958,44.82,45.686,47.519,48.553,50.42,52.053,53.82,54.719,56.486,58.886,60.519,
'p4','Derecha',62,103.333% ,37,61.6667% ,2.992,4.557,5.723,7.823,9.191,11.823,13.29,15.191,17.058,18.957,20.722,21.723,22.657,24.223,25.991,28.356,30.258,31.189,32.89,33.922,36.29,37.256,38.323,39.19,40.122,42.257,44.057,45.022,47.457,49.623,51.456,52.49,54.389,56.456,57.522,59.522,62.09,
